bin_id,pgn,count,iat_count,jitter_count,sum_iat,max_iat,sum_jitter
1774597172,130843,10,10,10,280,89,244
1774597172,65280,28,28,28,739,81,531
1774597172,126992,9,9,9,849,230,1197
1774597172,127245,55,55,55,731,41,517
1774597172,127250,109,109,109,719,71,1068
1774597172,127251,30,30,30,719,80,617
1774597172,127252,27,27,27,719,80,488
1774597172,127257,27,27,27,711,81,556
1774597172,127258,27,27,27,710,81,454
1774597172,127488,54,54,54,711,89,1217
1774597172,127493,54,54,54,711,89,1330
1774597172,129025,43,43,43,710,80,868
1774597172,129026,14,14,14,789,109,612
1774597172,129029,6,6,6,850,270,1425
1774597172,129038,5,5,5,881,711,1363
1774597172,129539,3,3,3,850,291,13
1774597172,129540,3,3,3,850,310,90
1774597172,130306,11,11,11,720,129,484
1774597172,130310,6,6,6,840,160,229
1774597172,130311,5,5,5,670,190,415
1774597172,130312,2,2,2,629,560,501
1774597172,130314,2,2,2,629,560,501
1774597172,130316,1,1,1,560,560,10
1774597172,130323,3,3,3,841,300,77
1774597172,130577,3,3,3,850,300,49
1774597172,130578,10,10,10,689,110,438
1774597172,130843,27,27,27,719,89,472
1774597173,65280,10,10,10,271,81,201
1774597173,126992,3,3,3,261,201,343
1774597173,127245,20,20,20,270,41,144
1774597173,127250,41,41,41,281,70,473
1774597173,127251,12,12,12,291,72,193
1774597173,127252,11,11,11,291,72,193
1774597173,127257,10,10,10,260,80,179
1774597173,127258,10,10,10,270,80,206
1774597173,127488,21,21,21,290,79,508
1774597173,127493,20,20,20,270,79,493
1774597173,129025,16,16,16,270,72,346
1774597173,129026,5,5,5,261,100,178
1774597173,129029,2,2,2,260,240,440
1774597173,129038,1,1,1,529,529,438
1774597173,129539,1,1,1,269,269,22
1774597173,129540,1,1,1,260,260,10
1774597173,130306,4,4,4,270,120,172
1774597173,130310,2,2,2,270,150,70
1774597173,130311,2,2,2,260,170,159
1774597173,130312,1,1,1,490,490,421
1774597173,130314,1,1,1,491,491,422
